NOME DO ARQUIVO,TAMANHO ORIGINAL (KB),PNG - TAMANHO COMPRIMIDO (KB),COMPRESSAO PNG,JPEG - TAMANHO COMPRIMIDO (KB),COMPRESSAO JPEG,PCA-950 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-950,PCA-975 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-975,PCA-990 - TAMANHO COMPRIMIDO (KB),COMPRESSAO PCA-990
lung-512x512/64752f46_1-52.dcm,525.71,112.65,78.57,23.9,95.45,153.25,70.85,271.34,48.39,459.66,12.56
lung-512x512/e3dba963_1-52.dcm,526.29,98.21,81.34,17.93,96.59,121.55,76.9,223.8,57.48,388.69,26.15
lung-512x512/affb35d8_1-093.dcm,526.22,87.48,83.38,16.19,96.92,153.01,70.92,239.55,54.48,373.01,29.11
lung-512x512/d93436b0_1-085.dcm,526.21,101.12,80.78,21.41,95.93,129.49,75.39,223.86,57.46,373.01,29.11
lung-512x512/8db917db_1-090.dcm,525.72,79.14,84.95,13.24,97.48,168.93,67.87,278.98,46.93,459.56,12.59
lung-512x512/9914d963_1-050.dcm,526.21,81.36,84.54,15.5,97.05,145.16,72.42,223.84,57.46,365.22,30.59
lung-512x512/22ea7323_1-007.dcm,526.22,70.81,86.54,13.3,97.47,113.62,78.41,184.46,64.95,302.26,42.56
lung-512x512/1b7486f7_1-062.dcm,526.2,81.16,84.58,13.45,97.44,176.75,66.41,294.65,44,482.94,8.22
lung-512x512/4557678f_1-134.dcm,526.19,70.65,86.57,9.89,98.12,97.8,81.41,168.73,67.93,286.47,45.56
lung-512x512/1a282755_1-100.dcm,526.22,96.07,81.74,19.5,96.29,129.48,75.4,216.06,58.94,373.06,29.1
lung-512x512/a7bebfa5_1-097.dcm,526.23,78.05,85.17,13.06,97.52,66.34,87.39,129.32,75.42,247.18,53.03
lung-512x512/46dfd42b_1-047.dcm,526.22,77.86,85.2,15.37,97.08,145.25,72.4,231.86,55.94,365.38,30.57
lung-512x512/e348fdb2_1-011.dcm,525.74,64.1,87.81,10.87,97.93,113.69,78.38,192.38,63.41,310.32,40.97
lung-512x512/4e838667_1-091.dcm,526.19,93.6,82.21,13.59,97.42,97.82,81.41,176.59,66.44,317.92,39.58
lung-512x512/6ee1b8f2_1-003.dcm,526.19,76.98,85.37,12.27,97.67,113.66,78.4,200.31,61.93,333.88,36.55
lung-512x512/35067140_1-016.dcm,526.22,67.1,87.25,11.18,97.87,97.85,81.41,168.77,67.93,286.52,45.55
lung-512x512/5b3fbd02_1-118.dcm,526.2,83.5,84.13,14.96,97.16,50.53,90.4,113.58,78.42,231.46,56.01
lung-512x512/d3fb4272_1-019.dcm,525.73,76.62,85.43,13.87,97.36,98.02,81.36,168.99,67.86,294.92,43.9
lung-512x512/dc2f03b4_1-002.dcm,526.22,83.05,84.22,15.29,97.09,89.9,82.92,176.54,66.45,302.34,42.54
lung-512x512/986ab53b_1-052.dcm,525.72,81.81,84.44,14.51,97.24,113.6,78.39,192.31,63.42,318,39.51
lung-512x512/93cfcbb1_1-085.dcm,526.22,86.35,83.59,16.15,96.93,168.84,67.92,263.23,49.98,404.43,23.14
lung-512x512/d3bae634_1-061.dcm,526.22,95.64,81.82,20.44,96.12,160.93,69.42,255.36,51.47,412.34,21.64
lung-512x512/21a425e4_1-87.dcm,525.72,89.15,83.04,11.5,97.81,50.51,90.39,105.8,79.88,231.54,55.96
lung-512x512/324b20f2_1-088.dcm,526.19,90.54,82.79,14.46,97.25,97.85,81.4,176.54,66.45,309.86,41.11
lung-512x512/3c24dd8b_1-011.dcm,525.72,83.15,84.18,12.48,97.63,97.89,81.38,168.82,67.89,302.39,42.48
lung-512x512/afda1f32_1-100.dcm,525.72,92.38,82.43,13.09,97.51,113.82,78.35,208.36,60.37,365.54,30.47
lung-512x512/90dcceb0_1-111.dcm,526.22,84.81,83.88,14.79,97.19,97.84,81.41,176.57,66.45,317.89,39.59
lung-512x512/08c07506_1-78.dcm,526.2,90.33,82.83,15.05,97.14,137.36,73.9,216.01,58.95,357.39,32.08
lung-512x512/dc5224c2_1-091.dcm,526.22,98.53,81.28,20.16,96.17,97.93,81.39,176.66,66.43,302.33,42.55
lung-512x512/7d012dec_1-89.dcm,526.22,109.29,79.23,24.51,95.34,90.04,82.89,168.87,67.91,341.53,35.1
lung-512x512/25d5ec61_1-119.dcm,526.21,69.26,86.84,10.15,98.07,74.28,85.88,137.21,73.92,262.85,50.05
lung-512x512/196f96f5_1-008.dcm,525.71,79.33,84.91,12.35,97.65,97.89,81.38,176.74,66.38,302.5,42.46
lung-512x512/bd50f78a_1-51.dcm,526.22,106.81,79.7,21.37,95.94,168.91,67.9,294.72,43.99,483.01,8.21
lung-512x512/de0399bb_1-094.dcm,525.72,96.99,81.55,15.53,97.05,66.32,87.38,137.31,73.88,263.04,49.97
lung-512x512/58e252c6_1-107.dcm,526.22,110.6,78.98,21.3,95.95,74.29,85.88,145.06,72.43,325.72,38.1
lung-512x512/08fd8715_1-078.dcm,526.2,93.91,82.15,15.93,96.97,113.65,78.4,223.66,57.5,388.41,26.19
lung-512x512/68a7bd99_1-133.dcm,526.21,76.56,85.45,13.28,97.48,97.89,81.4,168.82,67.92,286.53,45.55
lung-512x512/a1a3ee0b_1-085.dcm,526.17,83.92,84.05,14.19,97.3,137.4,73.89,255.24,51.49,435.69,17.2
lung-512x512/55c474c0_1-91.dcm,525.73,91.8,82.54,15.57,97.04,97.96,81.37,176.81,66.37,318.2,39.47
lung-512x512/9242102e_1-056.dcm,525.72,81.47,84.5,13.93,97.35,105.82,79.87,200.29,61.9,365.05,30.56
lung-512x512/52eebd85_1-024.dcm,526.23,90.85,82.74,14.95,97.16,82.1,84.4,168.68,67.95,302.21,42.57
lung-512x512/f60e07db_1-071.dcm,526.22,85.84,83.69,16.66,96.83,168.92,67.9,263.23,49.98,404.49,23.13
lung-512x512/a4a6f753_1-126.dcm,526.29,87.09,83.45,12.97,97.54,105.77,79.9,184.44,64.95,333.55,36.62
lung-512x512/f2362769_1-031.dcm,526.21,91.7,82.57,16.11,96.94,145.27,72.39,239.68,54.45,388.91,26.09
lung-512x512/32dd6f7e_1-046.dcm,525.72,93.56,82.2,18.78,96.43,145.42,72.34,232.07,55.86,373.45,28.96
lung-512x512/c6717e4a_1-14.dcm,526.21,81.32,84.55,13.11,97.51,89.97,82.9,176.51,66.46,325.77,38.09
lung-512x512/27aca76d_1-003.dcm,526.21,84.85,83.87,15.07,97.14,82.07,84.4,145.12,72.42,255.12,51.52
lung-512x512/56dc695c_1-113.dcm,526.22,90.98,82.71,16.72,96.82,66.36,87.39,129.34,75.42,255,51.54
lung-512x512/fbcf66ec_1-059.dcm,526.2,99.51,81.09,18.62,96.46,137.42,73.88,247.5,52.97,428,18.66
lung-512x512/476b61ee_1-098.dcm,526.22,101.71,80.67,20.64,96.08,66.29,87.4,137.26,73.92,278.52,47.07
lung-512x512/e12d6d7a_1-48.dcm,526.22,94.77,81.99,19.77,96.24,137.38,73.89,231.83,55.94,380.87,27.62
lung-512x512/6557ec1b_1-015.dcm,525.73,71.69,86.36,11.55,97.8,105.94,79.85,184.73,64.86,302.67,42.43
lung-512x512/ccd27ae4_1-049.dcm,526.23,68.72,86.94,10.74,97.96,82.04,84.41,152.83,70.96,270.66,48.57
lung-512x512/64e8e12d_1-059.dcm,526.22,90.5,82.8,17.78,96.62,129.38,75.41,215.95,58.96,357.28,32.1
lung-512x512/56808a77_1-73.dcm,525.73,91.93,82.51,16.41,96.88,153.15,70.87,239.71,54.4,396.69,24.54
lung-512x512/193b7645_1-001.dcm,526.22,88.61,83.16,14.23,97.3,137.31,73.91,239.57,54.47,388.72,26.13
lung-512x512/5ee0d764_1-012.dcm,526.21,94,82.14,15.58,97.04,82.17,84.38,168.81,67.92,333.69,36.59
lung-512x512/61b4c43b_1-15.dcm,526.21,103.17,80.39,18.92,96.4,105.86,79.88,184.55,64.93,349.46,33.59
lung-512x512/98a87db1_1-066.dcm,526.22,87.33,83.4,17.86,96.61,184.52,64.93,286.67,45.52,443.58,15.7
lung-512x512/014546d4_1-057.dcm,526.21,98.06,81.36,20.97,96.01,145.22,72.4,255.41,51.46,412.44,21.62
lung-512x512/74b191bf_1-04.dcm,526.22,89,83.09,16.65,96.84,89.97,82.9,160.81,69.44,278.72,47.03
lung-512x512/e5ca0210_1-003.dcm,526.22,79.08,84.97,13.76,97.39,105.87,79.88,184.56,64.93,302.43,42.53
lung-512x512/24bc6928_1-041.dcm,526.22,75.06,85.74,14.28,97.29,137.33,73.9,208.21,60.43,333.83,36.56
lung-512x512/ec9e9eb9_1-082.dcm,525.72,99.42,81.09,17.71,96.63,113.84,78.35,208.35,60.37,381.11,27.51
lung-512x512/db6ba163_1-025.dcm,525.73,70.28,86.63,12.88,97.55,105.89,79.86,192.46,63.39,334.01,36.47
lung-512x512/0ac3bf11_1-026.dcm,526.29,79.32,84.93,11.68,97.78,97.95,81.39,176.68,66.43,325.94,38.07
lung-512x512/2f5bec54_1-044.dcm,526.2,86.06,83.64,16.5,96.86,97.79,81.42,192.12,63.49,348.94,33.69
lung-512x512/6a6370ba_1-064.dcm,526.22,64.21,87.8,12.53,97.62,160.72,69.46,254.95,51.55,388.33,26.2
lung-512x512/e94ada54_1-155.dcm,526.23,86.28,83.6,14.38,97.27,97.89,81.4,184.53,64.93,317.97,39.58
lung-512x512/6a004d80_1-027.dcm,526.22,91.11,82.69,17.04,96.76,97.79,81.42,168.7,67.94,294.38,44.06
lung-512x512/a16d9891_1-097.dcm,525.73,111.12,78.86,21.82,95.85,82.17,84.37,169.04,67.85,294.93,43.9
lung-512x512/8d6bc60e_1-001.dcm,526.23,73.7,85.99,14.16,97.31,168.86,67.91,247.54,52.96,373.12,29.09
lung-512x512/97ed6907_1-012.dcm,525.72,86.67,83.51,12.99,97.53,113.74,78.36,208.32,60.37,365.51,30.47
lung-512x512/93da0b89_1-120.dcm,526.23,91.76,82.56,14.67,97.21,58.42,88.9,113.54,78.42,239.17,54.55
lung-512x512/d4f514d3_1-014.dcm,526.22,72.87,86.15,13.61,97.41,113.64,78.4,184.5,64.94,294.59,44.02
lung-512x512/2422db9d_1-84.dcm,525.73,97.51,81.45,15.27,97.1,113.8,78.35,192.52,63.38,333.94,36.48
lung-512x512/a45f8777_1-106.dcm,526.21,87.9,83.3,13.82,97.37,129.39,75.41,208.12,60.45,341.6,35.08
lung-512x512/31f1eb20_1-068.dcm,526.21,84.93,83.86,14.99,97.15,192.41,63.44,318.15,39.54,514.27,2.27
lung-512x512/ce6ba219_1-117.dcm,526.23,72.16,86.29,12.14,97.69,89.61,82.97,167.98,68.08,300.85,42.83
lung-512x512/85e57b7a_1-030.dcm,526.19,95.43,81.86,16.34,96.9,66.33,87.39,145.13,72.42,286.5,45.55
lung-512x512/77b0ddbe_1-40.dcm,526.22,89.87,82.92,15.5,97.05,145.23,72.4,255.29,51.49,427.87,18.69
lung-512x512/54922e5c_1-073.dcm,525.72,83.34,84.15,14.29,97.28,145.33,72.36,255.35,51.43,443.61,15.62
lung-512x512/70197723_1-025.dcm,525.73,64.97,87.64,9.93,98.11,66.18,87.41,129.1,75.44,223.31,57.52
lung-512x512/0007ba6e_1-103.dcm,526.23,94.16,82.11,18.29,96.52,90.05,82.89,160.87,69.43,302.29,42.56
lung-512x512/56dc3084_1-086.dcm,526.22,96.62,81.64,19.98,96.2,137.31,73.91,231.68,55.97,388.61,26.15
lung-512x512/96f11497_1-64.dcm,525.73,97.75,81.41,16.73,96.82,129.53,75.36,216.17,58.88,357.64,31.97
lung-512x512/a7f45389_1-059.dcm,526.23,73.5,86.03,11.5,97.82,73.62,86.01,136.07,74.14,252.71,51.98
lung-512x512/e24b7f48_1-064.dcm,525.72,77.79,85.2,12.82,97.56,144.22,72.57,245.76,53.25,401.67,23.6
lung-512x512/0b6b7da8_1-083.dcm,526.21,85.04,83.84,16.35,96.89,192.48,63.42,294.76,43.98,467.2,11.21
lung-512x512/d732ae01_1-034.dcm,526.21,83.7,84.09,15.71,97.01,97.84,81.41,168.79,67.92,294.49,44.04
lung-512x512/2004bbe4_1-113.dcm,526.23,102.89,80.45,17.46,96.68,65.7,87.52,128.12,75.65,252.62,51.99
lung-512x512/d94da631_1-81.dcm,526.22,94.67,82.01,18.77,96.43,129.44,75.4,216,58.95,357.33,32.1
lung-512x512/6d1acec9_1-117.dcm,526.21,85.34,83.78,15.97,96.96,82.15,84.39,153.04,70.92,278.66,47.04
lung-512x512/619fcb99_1-114.dcm,526.23,78.98,84.99,14.39,97.26,113.69,78.4,184.52,64.93,294.6,44.02
lung-512x512/319276e4_1-15.dcm,526.2,87.56,83.36,13.7,97.4,74.1,85.92,152.63,70.99,285.92,45.66
lung-512x512/75b8a9c5_1-061.dcm,526.22,76.87,85.39,15.5,97.06,137.4,73.89,216,58.95,341.63,35.08
lung-512x512/f1c4bb6f_1-010.dcm,526.29,87.02,83.47,13.83,97.37,66.23,87.42,144.99,72.45,286.31,45.6
lung-512x512/32441679_1-49.dcm,526.21,93.06,82.32,15.38,97.08,184.69,64.9,302.7,42.48,514.58,2.21
lung-512x512/7aa9b639_1-065.dcm,526.18,82.35,84.35,14.65,97.22,153.06,70.91,278.83,47.01,459.28,12.71
lung-512x512/1a98e6c1_1-063.dcm,525.72,97.31,81.49,18.71,96.44,153.15,70.87,263.36,49.9,436.05,17.06
lung-512x512/0b5b8f20_1-048.dcm,526.22,83.32,84.17,14.6,97.22,200.32,61.93,318.16,39.54,490.81,6.73
lung-512x512/3ccb1155_1-117.dcm,526.21,86.43,83.58,15.63,97.03,50.57,90.39,105.75,79.9,215.67,59.01
lung-512x512/ac086db5_1-067.dcm,526.23,86.29,83.6,14.98,97.15,192.46,63.43,318.19,39.53,522.11,0.78
lung-512x512/a6576c07_1-119.dcm,526.22,92.08,82.5,17.83,96.61,66.31,87.4,121.47,76.92,231.45,56.02
lung-512x512/59c74612_1-026.dcm,526.22,87.52,83.37,17.63,96.65,105.91,79.87,184.57,64.92,326.02,38.04
lung-512x512/532aea4c_1-018.dcm,526.22,70.47,86.61,10.99,97.91,121.49,76.91,215.86,58.98,365.16,30.61
lung-512x512/66aef37e_1-152.dcm,526.23,85.28,83.79,13.88,97.36,90.03,82.89,168.79,67.92,302.32,42.55
lung-512x512/ceeacb8a_1-69.dcm,526.22,94.27,82.09,19.36,96.32,168.88,67.91,263.2,49.98,427.99,18.67
lung-512x512/c033106d_1-095.dcm,525.72,87.18,83.42,12.82,97.56,74.25,85.88,137.28,73.89,270.79,48.49
lung-512x512/8f22f706_1-078.dcm,526.23,90.25,82.85,17.85,96.61,153.14,70.9,255.33,51.48,412.21,21.67
lung-512x512/01f659d6_1-059.dcm,526.22,97.91,81.39,17.88,96.6,97.82,81.41,200.17,61.96,372.84,29.15
lung-512x512/864b9a9d_1-051.dcm,526.22,96.26,81.71,20.39,96.12,105.84,79.89,192.37,63.44,341.56,35.09
lung-512x512/c4b8b0c3_1-22.dcm,526.22,102.28,80.56,22.3,95.76,82.2,84.38,160.96,69.41,310.29,41.03
lung-512x512/c0b09521_1-038.dcm,526.21,87.4,83.39,14.83,97.18,113.63,78.41,207.99,60.47,364.98,30.64
lung-512x512/c528b1a9_1-037.dcm,526.23,71.56,86.4,12.86,97.56,168.85,67.91,279,46.98,420.43,20.1
lung-512x512/998ae7e8_1-051.dcm,526.22,89.49,82.99,15.69,97.02,145.16,72.41,255.13,51.52,419.93,20.2
lung-512x512/d6e801de_1-034.dcm,526.21,86.66,83.53,17.01,96.77,113.01,78.52,199.16,62.15,324.1,38.41
lung-512x512/6c437e8a_1-020.dcm,525.71,94.95,81.94,15.48,97.06,90.02,82.88,168.88,67.88,302.46,42.47
